n,marathon,year,gender,subgroup,avg_chip_seconds,high_temp,low_temp,avg_temp,precipitation,dew_point,wind_speed,visibility,sea_level_pressure,aqi,main_pollutant,co,ozone,pm10,pm25,no2
131,Berlin,1996,female,elite,10640.503816793895,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
541,Berlin,1996,female,competitive,12733.347504621073,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
901,Berlin,1996,female,average,14706.962264150949,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
402,Berlin,1996,female,recreational,16821.293532338306,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
60,Berlin,1996,female,slow,19053.516666666666,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
737,Berlin,1996,male,elite,9468.10719131615,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
3416,Berlin,1996,male,competitive,11172.961943793898,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
5411,Berlin,1996,male,average,12973.692108667548,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
3439,Berlin,1996,male,recreational,14840.742657749359,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
894,Berlin,1996,male,slow,17374.348993288593,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
40,Berlin,1997,female,elite,10226.1,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
324,Berlin,1997,female,competitive,12565.364197530862,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
771,Berlin,1997,female,average,14465.221789883262,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
587,Berlin,1997,female,recreational,16525.807495741057,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
114,Berlin,1997,female,slow,18986.780701754386,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
311,Berlin,1997,male,elite,9267.858520900321,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
2365,Berlin,1997,male,competitive,11091.72727272726,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
4665,Berlin,1997,male,average,12887.852518756741,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
4201,Berlin,1997,male,recreational,14756.655796238998,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
1604,Berlin,1997,male,slow,17323.2350374065,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
51,Berlin,1998,female,elite,10463.823529411764,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
489,Berlin,1998,female,competitive,12774.327198364002,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
1268,Berlin,1998,female,average,14644.561514195588,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
