n,marathon,year,gender,subgroup,avg_chip_seconds,avg_temp,precipitation,dew_point,wind_speed,visibility,sea_level_pressure,co,ozone,pm25,no2,supershoe,temp_aqi_interaction,avg_temp_gender_interaction
159,Boston,1996,female,elite,10660.547169811322,40.46,0,24.17,20,10,30.21,13,41,56,34,0,2791.7400000000002,0
1057,Boston,1996,female,competitive,12930.5156102176,40.46,0,24.17,20,10,30.21,13,41,55,34,0,2791.7400000000002,0
3481,Boston,1996,female,average,14792.14708417124,40.46,0,24.17,20,10,30.21,13,41,56,34,0,2791.7400000000002,0
2393,Boston,1996,female,recreational,17029.760133723346,40.46,0,24.17,20,10,30.21,13,41,55,34,0,2791.7400000000002,0
1389,Boston,1996,female,slow,20672.910727141865,40.46,0,24.17,20,10,30.21,13,41,56,34,0,2791.7400000000002,0
767,Boston,1996,male,elite,9553.104302477188,40.46,0,24.17,20,10,30.21,13,41,56,34,0,2791.7400000000002,40.46
5095,Boston,1996,male,competitive,11215.48792934246,40.46,0,24.17,20,10,30.21,13,41,55,34,0,2791.7400000000002,40.46
8091,Boston,1996,male,average,12994.776294648358,40.46,0,24.17,20,10,30.21,13,41,56,34,0,2791.7400000000002,40.46
6697,Boston,1996,male,recreational,15006.024787218206,40.46,0,24.17,20,10,30.21,13,41,55,34,0,2791.7400000000002,40.46
6677,Boston,1996,male,slow,18590.41036393593,40.46,0,24.17,20,10,30.21,13,41,55,34,0,2791.7400000000002,40.46
43,Boston,1997,female,elite,9696.116279069767,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,0
358,Boston,1997,female,competitive,12093.351955307262,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,0
1253,Boston,1997,female,average,13713.015163607351,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,0
692,Boston,1997,female,recreational,15761.51011560693,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,0
137,Boston,1997,female,slow,17793.087591240877,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,0
292,Boston,1997,male,elite,9535.195205479453,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,47.04
2233,Boston,1997,male,competitive,11329.65696372593,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,47.04
2304,Boston,1997,male,average,13023.363715277796,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,47.04
1171,Boston,1997,male,recreational,15105.83859948762,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,47.04
432,Boston,1997,male,slow,17253.379629629628,47.04,0,40.96,13,10,29.77,15,44,47,57,0,2681.2799999999997,47.04
59,Boston,1998,female,elite,10018.28813559322,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,0
720,Boston,1998,female,competitive,12375.901388888891,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,0
1424,Boston,1998,female,average,13971.685393258434,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,0
711,Boston,1998,female,recreational,16214.167369901545,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,0
239,Boston,1998,female,slow,18893.497907949793,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,0
283,Boston,1998,male,elite,9425.349823321558,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,48.62
2236,Boston,1998,male,competitive,11092.502683363144,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,48.62
2550,Boston,1998,male,average,12696.55411764704,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,48.62
1385,Boston,1998,male,recreational,14761.477256317696,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,48.62
710,Boston,1998,male,slow,17716.27605633802,48.62,0,43.38,20,10,29.99,17,49,45,41,0,2382.3799999999997,48.62
66,Boston,1999,female,elite,10368.969696969696,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,0
891,Boston,1999,female,competitive,12656.56341189674,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,0
1720,Boston,1999,female,average,14302.50058139535,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,0
808,Boston,1999,female,recreational,16611.23638613861,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,0
282,Boston,1999,female,slow,19272.60992907802,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,0
261,Boston,1999,male,elite,9509.842911877397,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,51.09
2148,Boston,1999,male,competitive,11305.356610800747,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,51.09
2607,Boston,1999,male,average,12983.0019179133,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,51.09
1589,Boston,1999,male,recreational,15022.930144745136,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,51.09
920,Boston,1999,male,slow,17959.280434782602,51.09,0,38.35,15,10,29.94,14,48,47,53,0,2707.77,51.09
146,Boston,2000,female,elite,10705.760273972604,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,0
2329,Boston,2000,female,competitive,12807.707599828253,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,0
2100,Boston,2000,female,average,14451.554285714286,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,0
712,Boston,2000,female,recreational,16851.700842696635,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,0
186,Boston,2000,female,slow,19436.666666666664,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,0
365,Boston,2000,male,elite,9622.493150684932,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,43
3800,Boston,2000,male,competitive,11264.325789473693,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,43
3718,Boston,2000,male,average,12896.879236148485,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,43
1603,Boston,2000,male,recreational,15010.774173424836,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,43
721,Boston,2000,male,slow,17823.00416088765,43,0,30.43,21,10,30.27,7,42,55,30,0,2365,43
78,Boston,2001,female,elite,10318.294871794871,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,0
1561,Boston,2001,female,competitive,12662.945547725803,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,0
2108,Boston,2001,female,average,14243.1114800759,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,0
796,Boston,2001,female,recreational,16590.211055276377,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,0
262,Boston,2001,female,slow,19216.446564885497,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,0
293,Boston,2001,male,elite,9546.590443686007,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,43.83
2750,Boston,2001,male,competitive,11304.293454545455,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,43.83
3040,Boston,2001,male,average,12931.280592105284,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,43.83
1579,Boston,2001,male,recreational,14990.925269157698,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,43.83
918,Boston,2001,male,slow,17838.379084967328,43.83,0,33.78,15,10,29.75,9,50,57,42,0,2498.31,43.83
67,Boston,2002,female,elite,10226.776119402984,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,0
1386,Boston,2002,female,competitive,12407.904040404048,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,0
2566,Boston,2002,female,average,13967.917770849568,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,0
972,Boston,2002,female,recreational,16214.251028806577,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,0
260,Boston,2002,female,slow,18574.55,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,0
337,Boston,2002,male,elite,9460.13056379822,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,49.64
3166,Boston,2002,male,competitive,11218.562539481994,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,49.64
3243,Boston,2002,male,average,12858.033919210578,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,49.64
1602,Boston,2002,male,recreational,14948.05555555555,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,49.64
798,Boston,2002,male,slow,17535.627819548863,49.64,0,48.22,15,10,30.04,13,35,62,38,0,3077.68,49.64
73,Boston,2003,female,elite,10650.260273972604,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,0
1673,Boston,2003,female,competitive,12816.471010161384,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,0
2827,Boston,2003,female,average,14440.805447470815,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,0
1318,Boston,2003,female,recreational,16716.00455235204,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,0
407,Boston,2003,female,slow,19605.191646191648,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,0
181,Boston,2003,male,elite,9650.121546961327,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,47.3
2426,Boston,2003,male,competitive,11373.489282769991,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,47.3
4160,Boston,2003,male,average,13054.046394230743,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,47.3
2556,Boston,2003,male,recreational,15038.570422535196,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,47.3
1397,Boston,2003,male,slow,18005.050107372957,47.3,0,37.74,25,10,30.15,10,71,59,43,0,3358.2999999999997,47.3
37,Boston,2004,female,elite,10309.081081081082,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,0
645,Boston,2004,female,competitive,12820.812403100776,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,0
2721,Boston,2004,female,average,14591.36751194413,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,0
1947,Boston,2004,female,recreational,16703.845403184365,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,0
889,Boston,2004,female,slow,19535.22384701911,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,0
115,Boston,2004,male,elite,9555.53043478261,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,62.54
1194,Boston,2004,male,competitive,11432.981574539364,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,62.54
3171,Boston,2004,male,average,13212.453800063053,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,62.54
3440,Boston,2004,male,recreational,15193.813953488376,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,62.54
2580,Boston,2004,male,slow,18208.52751937989,62.54,0,46.15,29,10,30.27,5,100,85,57,0,6254,62.54
84,Boston,2005,female,elite,10617.738095238095,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,0
1558,Boston,2005,female,competitive,12834.13863928112,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,0
3096,Boston,2005,female,average,14481.621124031,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,0
1464,Boston,2005,female,recreational,16791.15642076502,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,0
442,Boston,2005,female,slow,19230.434389140275,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,0
267,Boston,2005,male,elite,9690.378277153555,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,55.74
2468,Boston,2005,male,competitive,11482.93273905997,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,55.74
4033,Boston,2005,male,average,13192.644185469895,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,55.74
2612,Boston,2005,male,recreational,15248.793644716689,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,55.74
1504,Boston,2005,male,slow,18055.321808510613,55.74,0,30.17,13,10,30.05,9,51,58,39,0,3232.92,55.74
87,Boston,2006,female,elite,10478.701149425287,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,0
2233,Boston,2006,female,competitive,12678.880429914903,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,0
3461,Boston,2006,female,average,14293.267552730424,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,0
1393,Boston,2006,female,recreational,16580.95692749462,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,0
444,Boston,2006,female,slow,19257.042792792796,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,0
237,Boston,2006,male,elite,9420.54430379747,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,47.44
2817,Boston,2006,male,competitive,11113.924032658852,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,47.44
4673,Boston,2006,male,average,12726.150010699772,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,47.44
2732,Boston,2006,male,recreational,14674.083821376264,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,47.44
1595,Boston,2006,male,slow,17656.781191222555,47.44,0,35.24,16,10,29.81,6,39,34,30,0,1850.1599999999999,47.44
186,Boston,2007,female,elite,11047.854838709678,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,0
2897,Boston,2007,female,competitive,13070.468760787016,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,0
3191,Boston,2007,female,average,14814.268881228489,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,0
1234,Boston,2007,female,recreational,17220.085899513768,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,0
461,Boston,2007,female,slow,20232.65726681127,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,0
493,Boston,2007,male,elite,9879.099391480728,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,45.6
3818,Boston,2007,male,competitive,11642.639601885803,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,45.6
4643,Boston,2007,male,average,13396.457893603285,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,45.6
2157,Boston,2007,male,recreational,15544.932777005097,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,45.6
1242,Boston,2007,male,slow,18628.97987117554,45.6,0,43.09,39,10,29.35,5,49,52,25,0,2371.2000000000003,45.6
146,Boston,2008,female,elite,10797.027397260274,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,0
2846,Boston,2008,female,competitive,12766.22522839073,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,0
3794,Boston,2008,female,average,14443.193990511318,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,0
1586,Boston,2008,female,recreational,16782.65384615383,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,0
558,Boston,2008,female,slow,19738.358422939054,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,0
300,Boston,2008,male,elite,9430.663333333336,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,47.85
3199,Boston,2008,male,competitive,11157.477336667707,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,47.85
4888,Boston,2008,male,average,12795.312806873972,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,47.85
2916,Boston,2008,male,recreational,14755.17798353911,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,47.85
1719,Boston,2008,male,slow,17871.733566026738,47.85,0,42.74,13,10,30.38,7,49,56,36,0,2679.6,47.85
385,Boston,2009,female,elite,11283.233766233769,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,0
4467,Boston,2009,female,competitive,13199.8860532796,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,0
3068,Boston,2009,female,average,15051.7809647979,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,0
1047,Boston,2009,female,recreational,17519.901623686732,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,0
333,Boston,2009,female,slow,20372.249249249253,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,0
334,Boston,2009,male,elite,9487.419161676647,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,43.56
3758,Boston,2009,male,competitive,11205.279670037256,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,43.56
5158,Boston,2009,male,average,12855.070569988378,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,43.56
2771,Boston,2009,male,recreational,14846.398412125614,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,43.56
1518,Boston,2009,male,slow,17965.415019762866,43.56,0,37.88,20,10,30.29,5,47,45,36,0,2047.3200000000002,43.56
210,Boston,2010,female,elite,10767.75238095238,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,0
3369,Boston,2010,female,competitive,12805.45087563075,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,0
3880,Boston,2010,female,average,14495.985824742293,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,0
1545,Boston,2010,female,recreational,16824.79611650484,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,0
466,Boston,2010,female,slow,19803.84334763949,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,0
269,Boston,2010,male,elite,9255.453531598512,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,50.39
2961,Boston,2010,male,competitive,11013.944275582577,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,50.39
5087,Boston,2010,male,average,12614.484568507973,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,50.39
3032,Boston,2010,male,recreational,14522.83608179418,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,50.39
1724,Boston,2010,male,slow,17713.63921113692,50.39,0,31.78,18,10,29.91,3,40,39,29,0,2015.6,50.39
157,Boston,2011,female,elite,10412,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,0
2725,Boston,2011,female,competitive,12557.815045871565,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,0
4657,Boston,2011,female,average,14200.613485076228,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,0
1857,Boston,2011,female,recreational,16434.245018847603,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,0
677,Boston,2011,female,slow,19502.190546528807,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,0
193,Boston,2011,male,elite,9014.735751295337,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,52.58
2636,Boston,2011,male,competitive,10793.381259484066,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,52.58
5178,Boston,2011,male,average,12339.071069911177,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,52.58
3540,Boston,2011,male,recreational,14212.886440677996,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,52.58
2264,Boston,2011,male,slow,17382.03710247352,52.58,0,27.67,25,10,30,5,47,53,20,0,2786.74,52.58
117,Boston,2012,female,elite,11132.478632478633,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,0
1866,Boston,2012,female,competitive,13301.280814576618,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,0
3538,Boston,2012,female,average,15233.726964386666,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,0
2162,Boston,2012,female,recreational,17556.067530064778,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,0
1284,Boston,2012,female,slow,21181.72897196263,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,0
252,Boston,2012,male,elite,9764.61904761905,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,71.09
1951,Boston,2012,male,competitive,11564.822655048696,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,71.09
3851,Boston,2012,male,average,13389.991690469997,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,71.09
3415,Boston,2012,male,recreational,15422.919180087836,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,71.09
3117,Boston,2012,male,slow,19188.838626884797,71.09,0,55.43,18,10,29.98,3,100,73,31,0,7109,71.09
137,Boston,2014,female,elite,10148.211678832118,51.38,0,32.21,15,10,30.31,7,74,54,34,0,3802.1200000000003,0
2762,Boston,2014,female,competitive,12240.452208544531,51.38,0,32.21,15,10,30.31,7,74,54,34,0,3802.1200000000003,0
5152,Boston,2014,female,average,13877.890527950269,51.38,0,32.21,15,10,30.31,7,74,54,34,0,3802.1200000000003,0
